Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
,,web_traffic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,1
